iter	Logloss
0	0.5935234872
1	0.5061295444
2	0.4308680033
3	0.3670298282
4	0.3101734825
5	0.2669997853
6	0.230059528
7	0.1975821753
8	0.163635922
9	0.1406554251
10	0.1217919423
11	0.1077514462
12	0.09285743981
13	0.08204680362
14	0.07240282888
15	0.06390362658
16	0.05662031204
17	0.05007548964
18	0.04545915352
19	0.04111023055
20	0.03748422241
21	0.03347109507
22	0.03078261873
23	0.02783489566
24	0.02556882145
25	0.02341902444
26	0.02131966988
27	0.01948211095
28	0.01776938784
29	0.01649226225
30	0.01541892136
31	0.01434589109
32	0.013161842
33	0.0121130665
34	0.01132762846
35	0.01069002949
36	0.01010145675
37	0.00948518007
38	0.008926250205
39	0.008499790065
40	0.008110201321
41	0.007691535288
42	0.007251750031
43	0.006948530486
44	0.006611734535
45	0.006287030993
46	0.006011825255
47	0.005716055726
48	0.005466549931
49	0.005253492094
50	0.005014074338
51	0.004827737432
52	0.00464401561
53	0.004503387758
54	0.004330509845
55	0.004184728165
56	0.004050136741
57	0.00389964573
58	0.003782020758
59	0.003660649155
60	0.003477794515
61	0.003372279627
62	0.003264145896
63	0.003178749175
64	0.003061097127
65	0.002963225548
66	0.002891054665
67	0.002826582746
68	0.002745102257
69	0.002668799286
70	0.002594792504
71	0.002510029059
72	0.002457569262
73	0.002392421385
74	0.002314434067
75	0.002248680178
76	0.002190422561
77	0.002129684487
78	0.002086755229
79	0.002053662617
80	0.002009389152
81	0.001935715931
82	0.001890654068
83	0.001841314396
84	0.001793601912
85	0.001759546788
86	0.001722881095
87	0.00169393486
88	0.001667281055
89	0.001641034328
90	0.001606954761
91	0.001575877426
92	0.001547374372
93	0.001513544881
94	0.001488353646
95	0.001464241593
96	0.001439703752
97	0.001410627779
98	0.001392838989
99	0.001372259122
100	0.001352823965
101	0.001335467262
102	0.001316176792
103	0.001297307127
104	0.001274957078
105	0.001255005316
106	0.001240282781
107	0.001219054502
108	0.001204260328
109	0.001185001635
110	0.001170331089
111	0.001155905919
112	0.001134246118
113	0.001119331136
114	0.001094281767
115	0.001073626126
116	0.001061184737
117	0.001046828291
118	0.001032488767
119	0.001019647821
120	0.001009532612
121	0.0009973441201
122	0.0009872183815
123	0.0009696756252
124	0.0009585315309
125	0.0009452139354
126	0.0009335852948
127	0.0009335852948
128	0.0009335852948
129	0.0009219035365
130	0.0009124457648
131	0.0009123773229
132	0.0009124383377
133	0.0009034676507
134	0.0008929161243
135	0.0008796334079
136	0.0008698739464
137	0.0008698912449
138	0.0008698517592
139	0.0008698692457
140	0.0008531213747
141	0.0008383005951
142	0.0008283249963
143	0.0008283419188
144	0.0008193395491
145	0.000819386932
146	0.000819332028
147	0.0008193417114
148	0.0008097760121
149	0.0008097760121
150	0.0008044073634
151	0.0007950970051
152	0.000795089108
153	0.0007951074406
154	0.0007951205085
155	0.0007951214486
156	0.0007950945607
