track_id,track_name,artist_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,is_viral
7fY8qVujvm5lZBrt5Y1sIJ,Khayaal,Arijit Anand;Ankita Barwad,56,149749,0,0.702,0.326,1,-11.575,1,0.0313,0.731,0.000287,0.146,0.556,110.022,4,0
1BKl6JHciO3gjIjTzsG7hF,Peut-être a-t-il rêvé?,Raphaël,31,165080,0,0.527,0.378,9,-8.863,0,0.0258,0.922,4.12e-05,0.104,0.249,90.069,1,0
6qK47Oa7Vbumzeb69KuMhZ,The Valley of the Pagans,Gorillaz;Beck,0,181028,1,0.75,0.856,2,-5.802,1,0.0457,0.0778,3.65e-05,0.117,0.94,130.034,4,0
0e5LcankE0UyJUuCoq1uH2,The Joker,Steve Miller Band,0,264503,0,0.596,0.448,5,-9.616,1,0.0396,0.365,5.22e-06,0.207,0.796,83.293,4,0
38i3hKzRfWSzjhTOMtnzCG,El Cielo Puede Esperar,Attaque 77,44,253840,0,0.39,0.757,3,-11.223,0,0.0311,0.0016,0.000758,0.0388,0.739,159.319,4,0
5eQtR62IZ8P8qZM2pSD9Ip,Forever And For Always,Shania Twain,59,283000,0,0.469,0.722,6,-4.806,1,0.0326,0.232,0.0,0.123,0.529,85.984,4,0
32puFzyAEnxuSQNL9H8E4i,Kings of Metal,Manowar,0,223866,0,0.575,0.881,9,-13.012,1,0.0356,0.000113,2.59e-05,0.147,0.692,132.128,4,0
1cz1Z22xmJQaALUgUXzUaq,Land of Confusion,Disturbed,1,287066,0,0.553,0.991,8,-3.703,1,0.0925,4.44e-05,0.0729,0.179,0.324,114.919,4,0
66MxvS8yoayHZj2Lw0codN,Strasznie już być tym królem chcę,Paweł Szymański;Pola Pilat;Piotr Polk,30,202986,0,0.471,0.778,1,-6.309,1,0.34,0.186,0.0,0.364,0.683,197.599,4,0
4fdhVSIdZv0eB67sX2TDCv,Das Wunder der Persönlichkeit,Böhse Onkelz,39,314666,0,0.572,0.669,0,-12.087,1,0.0481,0.0117,0.0,0.111,0.632,136.114,4,0
4RLEptaOiYYtnZ07Nq87k2,Осенние листья,Надежда Обухова;Матвей Сахаров,0,208202,0,0.281,0.0665,9,-20.983,0,0.0495,0.988,1.23e-05,0.0904,0.159,74.017,3,0
6gVV28leSTAI70fV8fVP7L,Sobreviviré,Panteon Rococo,41,237133,0,0.397,0.909,1,-4.796,0,0.128,0.0202,5.44e-05,0.335,0.436,138.207,4,0
0rGllPwXKYxS07xZ0osn22,Melt - Quiet Village Mix,Leftfield;Quiet Village,17,469906,0,0.333,0.378,6,-16.326,1,0.0541,0.514,0.91,0.0828,0.0689,169.993,4,0
64NHAxoXRHW7WprPLFM5S2,Dry Martini - Remastered 2022,Eikichi Yazawa,31,245720,0,0.634,0.71,0,-6.972,1,0.0271,0.224,0.000213,0.132,0.487,123.912,3,0
76CSHuHKMJxmjmdrNBX2Z3,Victoria’s Secret,Jax,21,176124,1,0.586,0.556,6,-7.639,1,0.0592,0.00655,0.0,0.0836,0.517,167.018,4,0
66iKqUazBbTlAEjcZrpDkD,What A Diff'rence A Day Made,Dinah Washington,64,151866,0,0.387,0.117,0,-17.803,1,0.0299,0.925,0.000171,0.109,0.166,93.575,4,0
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,89,174000,0,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,4,1
